,Time,Interface,Rho,Pressure,Velocity,Temperature,Mass Flow Rate
0,0.0,INTER1,27.703592130318135 kg/m^3,2402256.6671847 kg/ms^2,82.06798710064191 m/s,293.4403877641479 K,0.07200243737416923 kg/s
1,0.0,INTER2,24.082820186964923 kg/m^3,2078543.5778805139 kg/ms^2,93.33445403947195 m/s,292.0216594331189 K,0.0711847011992742 kg/s
2,0.0,INTER3,22.72540584694802 kg/m^3,1987759.0555290405 kg/ms^2,106.03621543484863 m/s,295.7170997458631 K,0.07631382093870978 kg/s
3,0.0,INTER4,8.803446641791938 kg/m^3,725966.7004871108 kg/ms^2,261.3353379555823 m/s,278.58963746821615 K,0.07285983905399174 kg/s
4,0.10101010101010101,INTER1,27.859225125221965 kg/m^3,2413192.5866183178 kg/ms^2,85.9564345621801 m/s,293.1512834568867 K,0.075837630905552 kg/s
5,0.10101010101010101,INTER2,23.85988368494815 kg/m^3,2067761.1475622486 kg/ms^2,100.3642805765955 m/s,293.1554361511092 K,0.07583764354954672 kg/s
6,0.10101010101010101,INTER3,23.754595360169436 kg/m^3,2071003.600478514 kg/ms^2,106.03243981280438 m/s,294.8291966309873 K,0.07976708537784799 kg/s
7,0.10101010101010101,INTER4,7.9041493455852185 kg/m^3,690456.698705188 kg/ms^2,318.9916252422068 m/s,294.74523678726507 K,0.07984941720740046 kg/s
8,0.20202020202020202,INTER1,27.859224880956692 kg/m^3,2413192.5502090612 kg/ms^2,85.95650435542333 m/s,293.1512816992117 K,0.07583769181779187 kg/s
9,0.20202020202020202,INTER2,23.859877011591745 kg/m^3,2067760.5157510655 kg/ms^2,100.36438922882823 m/s,293.1554286999994 K,0.07583770443875702 kg/s
10,0.20202020202020202,INTER3,23.754738545820825 kg/m^3,2070998.516127328 kg/ms^2,106.04215901975475 m/s,294.8268182444079 K,0.07977487789104915 kg/s
11,0.20202020202020202,INTER4,7.903124307036229 kg/m^3,690455.3530286073 kg/ms^2,319.057219439388 m/s,294.78222680886444 K,0.07985547934108424 kg/s
12,0.30303030303030304,INTER1,27.85922247388957 kg/m^3,2413192.1916344073 kg/ms^2,85.9580169634013 m/s,293.15126440304687 K,0.07583901980875885 kg/s
13,0.30303030303030304,INTER2,23.859734652871342 kg/m^3,2067747.7124015375 kg/ms^2,100.36674573715541 m/s,293.15536083711925 K,0.07583903257978132 kg/s
14,0.30303030303030304,INTER3,23.75609495010081 kg/m^3,2070941.9104943716 kg/ms^2,106.02494131614968 m/s,294.8031442554834 K,0.0797664795514387 kg/s
15,0.30303030303030304,INTER4,7.899994756022499 kg/m^3,690442.1658811138 kg/ms^2,319.06130236688847 m/s,294.8914073217669 K,0.07982487893633557 kg/s
16,0.40404040404040403,INTER1,27.859222202337136 kg/m^3,2413192.151157569 kg/ms^2,85.95828229012623 m/s,293.1512624489896 K,0.07583925316193324 kg/s
17,0.40404040404040403,INTER2,23.859709817855695 kg/m^3,2067745.5049888957 kg/ms^2,100.36715891062215 m/s,293.15535253254177 K,0.0758392658422311 kg/s
18,0.40404040404040403,INTER3,23.756242114817958 kg/m^3,2070934.7474070862 kg/ms^2,106.03465531858022 m/s,294.8004373286547 K,0.07977428193847486 kg/s
19,0.40404040404040403,INTER4,7.898926908759881 kg/m^3,690440.6698434954 kg/ms^2,319.1274042807838 m/s,294.92994359183524 K,0.07983062453829962 kg/s
20,0.5050505050505051,INTER1,27.85922192905217 kg/m^3,2413192.1104224846 kg/ms^2,85.95864474345888 m/s,293.1512604824653 K,0.07583957220322657 kg/s
21,0.5050505050505051,INTER2,23.859675974069447 kg/m^3,2067742.5187172685 kg/ms^2,100.3677233036346 m/s,293.15534416783845 K,0.07583958473319063 kg/s
22,0.5050505050505051,INTER3,23.756384113583827 kg/m^3,2070926.7708058201 kg/ms^2,106.0445598776623 m/s,294.797681015046 K,0.07978221043157738 kg/s
23,0.5050505050505051,INTER4,7.897841138691454 kg/m^3,690439.1642622498 kg/ms^2,319.1944170922014 m/s,294.9691440860432 K,0.0798364123270563 kg/s
24,0.6060606060606061,INTER1,27.85920945014562 kg/m^3,2413190.2423375533 kg/ms^2,85.97964269321636 m/s,293.1511697659899 K,0.0758580642903233 kg/s
25,0.6060606060606061,INTER2,23.857716628563413 kg/m^3,2067566.3810125075 kg/ms^2,100.40044289023675 m/s,293.154420912351 K,0.07585807827603673 kg/s
26,0.6060606060606061,INTER3,23.762494615653925 kg/m^3,2070529.2248392226 kg/ms^2,105.99897157807078 m/s,294.67174188740506 K,0.07976842462421235 kg/s
27,0.6060606060606061,INTER4,7.884679195624392 kg/m^3,690365.4612675238 kg/ms^2,319.3412574141546 m/s,295.4218713730319 K,0.07974002928335107 kg/s
28,0.7070707070707071,INTER1,27.859208051289244 kg/m^3,2413190.033899097 kg/ms^2,85.98250570146472 m/s,293.1511597081473 K,0.07586058645432968 kg/s
29,0.7070707070707071,INTER2,23.857449627793745 kg/m^3,2067543.0288053602 kg/ms^2,100.40490561081498 m/s,293.1543828702525 K,0.07586060111353966 kg/s
30,0.7070707070707071,INTER3,23.763156462434985 kg/m^3,2070480.314474456 kg/ms^2,105.98640396469028 m/s,294.65731182678127 K,0.07976118849035803 kg/s
31,0.7070707070707071,INTER4,7.88322719620374 kg/m^3,690357.8053130533 kg/ms^2,319.3217629044441 m/s,295.47210960906034 K,0.07972047788121624 kg/s
32,0.8080808080808081,INTER1,27.85904925180604 kg/m^3,2413166.3736250754 kg/ms^2,86.37216790199804 m/s,293.150018138421 K,0.07620394298428972 kg/s
33,0.8080808080808081,INTER2,23.82106619052835 kg/m^3,2064367.4200750517 kg/ms^2,101.0133846529328 m/s,293.15007501907445 K,0.07620394432642444 kg/s
34,0.8080808080808081,INTER3,23.652103027908986 kg/m^3,2033325.811827443 kg/ms^2,105.27411949733167 m/s,290.91008778872924 K,0.07885490480126746 kg/s
35,0.8080808080808081,INTER4,8.246170488558464 kg/m^3,708662.616132235 kg/ms^2,294.9293147942616 m/s,290.06766603914144 K,0.07702072162737726 kg/s
36,0.9090909090909091,INTER1,27.859048906411413 kg/m^3,2413166.3092083298 kg/ms^2,86.3786431329154 m/s,293.1500141686604 K,0.07620965496919817 kg/s
37,0.9090909090909091,INTER2,23.820461918356727 kg/m^3,2064299.0261071315 kg/ms^2,101.02351940052756 m/s,293.1478866272011 K,0.07620965665492813 kg/s
38,0.9090909090909091,INTER3,23.6483976917738 kg/m^3,2040241.5261016665 kg/ms^2,105.62048915351242 m/s,291.8956244155129 K,0.07910195672689793 kg/s
39,0.9090909090909091,INTER4,8.191487805976756 kg/m^3,704694.2215751519 kg/ms^2,300.64416638768654 m/s,290.3604858681036 K,0.07799251091565233 kg/s
40,1.0101010101010102,INTER1,27.85905359633251 kg/m^3,2413164.5525664263 kg/ms^2,86.40377234011805 m/s,293.1497660815073 K,0.07623183865554728 kg/s
41,1.0101010101010102,INTER2,23.81811979138015 kg/m^3,2064062.8834651893 kg/ms^2,101.06281428064109 m/s,293.14331881684024 K,0.07623180358004114 kg/s
42,1.0101010101010102,INTER3,23.668470327927114 kg/m^3,2050146.6378547864 kg/ms^2,105.6857343017713 m/s,293.0090883193997 K,0.07921800333311399 kg/s
43,1.0101010101010102,INTER4,8.063399242184447 kg/m^3,698683.2686814902 kg/ms^2,308.1683025193154 m/s,292.4139140924881 K,0.07869433352323668 kg/s
44,1.1111111111111112,INTER1,27.859053478509054 kg/m^3,2413164.5774889425 kg/ms^2,86.40549494831303 m/s,293.1497701095467 K,0.07623335814629248 kg/s
45,1.1111111111111112,INTER2,23.81795901839864 kg/m^3,2064049.8429771988 kg/ms^2,101.06551184191206 m/s,293.14343388471036 K,0.07623332377322206 kg/s
46,1.1111111111111112,INTER3,23.67118554924527 kg/m^3,2050372.1548747448 kg/ms^2,105.68051772208554 m/s,293.0078667819617 K,0.07922318053865772 kg/s
47,1.1111111111111112,INTER4,8.05997750222935 kg/m^3,698522.8001782463 kg/ms^2,308.2730962513629 m/s,292.4697261497632 K,0.07868768816007683 kg/s
48,1.2121212121212122,INTER1,27.85905347291674 kg/m^3,2413164.5786706065 kg/ms^2,86.40561547985915 m/s,293.1497703005885 K,0.07623346447288991 kg/s
49,1.2121212121212122,INTER2,23.817947778127415 kg/m^3,2064048.9121481637 kg/ms^2,101.0657004562173 m/s,293.1434393439606 K,0.07623343006784393 kg/s
50,1.2121212121212122,INTER3,23.671311487621097 kg/m^3,2050382.5156615938 kg/ms^2,105.69484728341331 m/s,293.0077966244467 K,0.07923434421467249 kg/s
51,1.2121212121212122,INTER4,8.059451069257326 kg/m^3,698515.0845769931 kg/ms^2,308.35209091972956 m/s,292.48530461838675 K,0.07870271104058749 kg/s
52,1.3131313131313131,INTER1,27.859053386635914 kg/m^3,2413164.59627083 kg/ms^2,86.40819856070519 m/s,293.14977317564865 K,0.07623574322294509 kg/s
53,1.3131313131313131,INTER2,23.817706724802008 kg/m^3,2064028.6759105579 kg/ms^2,101.06974527953678 m/s,293.1435193436623 K,0.07623570949753172 kg/s
54,1.3131313131313131,INTER3,23.673319451274054 kg/m^3,2050547.2980530784 kg/ms^2,105.67608507733019 m/s,293.00662231057737 K,0.07922699910065702 kg/s
55,1.3131313131313131,INTER4,8.056836061891651 kg/m^3,698390.8649508358 kg/ms^2,308.3970342958758 m/s,292.5273461712588 K,0.0786886422575419 kg/s
56,1.4141414141414141,INTER1,27.859053338598844 kg/m^3,2413164.6064377865 kg/ms^2,86.40989609542665 m/s,293.1497748185787 K,0.07623724078295095 kg/s
57,1.4141414141414141,INTER2,23.817548289844144 kg/m^3,2064015.3335460932 kg/ms^2,101.07240379269791 m/s,293.14356626165755 K,0.07623720765055021 kg/s
58,1.4141414141414141,INTER3,23.674362595068573 kg/m^3,2050631.2703312808 kg/ms^2,105.66693448332529 m/s,293.0057901087074 K,0.07922362952353484 kg/s
59,1.4141414141414141,INTER4,8.055450828897499 kg/m^3,698325.5982107194 kg/ms^2,308.40782641236717 m/s,292.54984842278265 K,0.07867786628745503 kg/s
60,1.5151515151515151,INTER1,27.859047504372167 kg/m^3,2413166.12088708 kg/ms^2,86.68804979297936 m/s,293.1500064510455 K,0.07648263265760906 kg/s
61,1.5151515151515151,INTER2,23.7915539565335 kg/m^3,2061816.9896575396 kg/ms^2,101.50856539929335 m/s,293.1500183383634 K,0.07648263308525768 kg/s
62,1.5151515151515151,INTER3,23.634817330727707 kg/m^3,2050948.9086341893 kg/ms^2,105.80359080070724 m/s,293.51474914334557 K,0.07919358241107838 kg/s
63,1.5151515151515151,INTER4,8.007532204637515 kg/m^3,696461.7285949745 kg/ms^2,308.3138527959683 m/s,293.4963692189697 K,0.07818601244684195 kg/s
64,1.6161616161616161,INTER1,27.859047505062314 kg/m^3,2413166.1207438638 kg/ms^2,86.68806193445933 m/s,293.1500064277689 K,0.07648264337161868 kg/s
65,1.6161616161616161,INTER2,23.79155282007455 kg/m^3,2061816.5670016366 kg/ms^2,101.50858445748536 m/s,293.14997440345746 K,0.07648264379146937 kg/s
66,1.6161616161616161,INTER3,23.63461581493074 kg/m^3,2050963.907131607 kg/ms^2,105.77135619397703 m/s,293.51917167139624 K,0.07916877991474748 kg/s
67,1.6161616161616161,INTER4,8.01063255763437 kg/m^3,696453.1096038611 kg/ms^2,308.1832204753296 m/s,293.3812530897037 K,0.07818314430062445 kg/s
68,1.7171717171717171,INTER1,27.85904682370413 kg/m^3,2413166.011982877 kg/ms^2,86.77099899049603 m/s,293.15000069844876 K,0.07655581472678648 kg/s
69,1.7171717171717171,INTER2,23.783785884863516 kg/m^3,2061145.6628125415 kg/ms^2,101.63887855510978 m/s,293.1500017002025 K,0.07655581476848107 kg/s
70,1.7171717171717171,INTER3,23.623013440752228 kg/m^3,2049018.3268108487 kg/ms^2,105.83136615638271 m/s,293.390709989869 K,0.07917481028151717 kg/s
71,1.7171717171717171,INTER4,8.025604374845608 kg/m^3,697186.3844913779 kg/ms^2,307.3910420358167 m/s,293.1470191303932 K,0.0781279243359669 kg/s
72,1.8181818181818181,INTER1,27.859046819121293 kg/m^3,2413166.011104619 kg/ms^2,86.77401970318655 m/s,293.1500006430736 K,0.07655847981110016 kg/s
73,1.8181818181818181,INTER2,23.783502863285175 kg/m^3,2061117.9838175925 kg/ms^2,101.6436265800141 m/s,293.1495649366118 K,0.07655848000764016 kg/s
74,1.8181818181818181,INTER3,23.633826484783665 kg/m^3,2050042.0832133575 kg/ms^2,105.76300966742897 m/s,293.40278870473907 K,0.07915988881740932 kg/s
75,1.8181818181818181,INTER4,8.020333975620526 kg/m^3,696531.5455566632 kg/ms^2,307.8895356353385 m/s,293.06523642813215 K,0.07820323410377661 kg/s
76,1.9191919191919191,INTER1,27.859046818469256 kg/m^3,2413166.010990297 kg/ms^2,86.77481169235949 m/s,293.1500006364155 K,0.07655917856093136 kg/s
77,1.9191919191919191,INTER2,23.7834286578639 kg/m^3,2061111.6049153756 kg/ms^2,101.64487147980249 m/s,293.14956938596123 K,0.07655917880403475 kg/s
78,1.9191919191919191,INTER3,23.63556805788897 kg/m^3,2050148.873386293 kg/ms^2,105.74930791331576 m/s,293.3968116758557 K,0.07915546606143965 kg/s
79,1.9191919191919191,INTER4,8.019746164084928 kg/m^3,696458.5659392134 kg/ms^2,307.90226903755814 m/s,293.0561311882167 K,0.07820073659432386 kg/s
80,2.0202020202020203,INTER1,27.859046817853088 kg/m^3,2413166.010882492 kg/ms^2,86.77595006947112 m/s,293.15000063014975 K,0.07656018292000656 kg/s
81,2.0202020202020203,INTER2,23.783321992156534 kg/m^3,2061102.419437495 kg/ms^2,101.64666094746262 m/s,293.14957358724973 K,0.07656018327128117 kg/s
82,2.0202020202020203,INTER3,23.63718763400354 kg/m^3,2050246.5876665108 kg/ms^2,105.73922014734008 m/s,293.39103668061836 K,0.07915333860689353 kg/s
83,2.0202020202020203,INTER4,8.018915835377971 kg/m^3,696389.6727535046 kg/ms^2,307.9263364888278 m/s,293.05741796576154 K,0.07819875203562969 kg/s
84,2.121212121212121,INTER1,27.859046989455585 kg/m^3,2413166.040086305 kg/ms^2,86.93082626456618 m/s,293.1500022810549 K,0.07669682666533281 kg/s
85,2.121212121212121,INTER2,23.768799209238065 kg/m^3,2059850.7599756632 kg/ms^2,101.89029563144568 m/s,293.15000582900615 K,0.07669682680774896 kg/s
86,2.121212121212121,INTER3,23.615103727743403 kg/m^3,2048357.0820650754 kg/ms^2,105.82302070281204 m/s,293.39382600314565 K,0.07914205878486584 kg/s
87,2.121212121212121,INTER4,8.016617667023077 kg/m^3,696813.208530654 kg/ms^2,307.6759310609379 m/s,293.31522901613596 K,0.07811276785734445 kg/s
88,2.2222222222222223,INTER1,27.859046971525707 kg/m^3,2413166.037017424 kg/ms^2,86.93369665758873 m/s,293.1500021065492 K,0.07669935908972579 kg/s
89,2.2222222222222223,INTER2,23.768529762178424 kg/m^3,2059827.4872006762 kg/ms^2,101.89481519050128 m/s,293.1500070488755 K,0.07669935937078907 kg/s
90,2.2222222222222223,INTER3,23.62897206855369 kg/m^3,2049210.3355814263 kg/ms^2,105.7827207636027 m/s,293.3466132475099 K,0.07915837931271907 kg/s
91,2.2222222222222223,INTER4,8.01046306006773 kg/m^3,696247.9844281351 kg/ms^2,308.0444347337967 m/s,293.302373283616 K,0.078146282143463 kg/s
92,2.323232323232323,INTER1,27.859046954514092 kg/m^3,2413166.0341053205 kg/ms^2,86.93938742693105 m/s,293.15000194093557 K,0.07670437986194938 kg/s
93,2.323232323232323,INTER2,23.76799553074308 kg/m^3,2059781.346049386 kg/ms^2,101.90377643817575 m/s,293.1500096945982 K,0.07670438069880334 kg/s
94,2.323232323232323,INTER3,23.641947474273362 kg/m^3,2049996.5869816279 kg/ms^2,105.73572335172233 m/s,293.300848770081 K,0.0791666596532568 kg/s
95,2.323232323232323,INTER4,8.004488946660246 kg/m^3,695712.2021187806 kg/ms^2,308.3748182584119 m/s,293.2952096218925 K,0.07817175239291907 kg/s
96,2.4242424242424243,INTER1,27.859046953827757 kg/m^3,2413166.033987751 kg/ms^2,86.93974748227849 m/s,293.1500019342447 K,0.07670469752760899 kg/s
97,2.4242424242424243,INTER2,23.767961737038267 kg/m^3,2059778.4257983537 kg/ms^2,101.90434331128681 m/s,293.1500096565985 K,0.07670469833194221 kg/s
98,2.4242424242424243,INTER3,23.642461294351683 kg/m^3,2050027.243387398 kg/ms^2,105.73950157268156 m/s,293.29897234662104 K,0.07917120911307086 kg/s
99,2.4242424242424243,INTER4,8.003446477364841 kg/m^3,695690.477347662 kg/ms^2,308.4299013570334 m/s,293.323715764131 K,0.07817553317025631 kg/s
100,2.525252525252525,INTER1,27.859046954031534 kg/m^3,2413166.034022636 kg/ms^2,86.9396022760933 m/s,293.15000193622865 K,0.07670456941649688 kg/s
101,2.525252525252525,INTER2,23.76797537809097 kg/m^3,2059779.5992006005 kg/ms^2,101.90411449952114 m/s,293.15000894316506 K,0.07670457012513589 kg/s
102,2.525252525252525,INTER3,23.64230955527604 kg/m^3,2050018.4893099149 kg/ms^2,105.7491034316599 m/s,293.29956726173833 K,0.07917789021928438 kg/s
103,2.525252525252525,INTER4,8.002384704122148 kg/m^3,695696.8136572036 kg/ms^2,308.4760448968478 m/s,293.3645609479754 K,0.07817685617527234 kg/s
104,2.6262626262626263,INTER1,27.859046954224468 kg/m^3,2413166.0340556367 kg/ms^2,86.9394282274726 m/s,293.1500019381039 K,0.07670441585841775 kg/s
105,2.6262626262626263,INTER2,23.76799173343176 kg/m^3,2059781.0057149169 kg/ms^2,101.90384016255106 m/s,293.15000803751684 K,0.07670441641028167 kg/s
106,2.6262626262626263,INTER3,23.642168235539835 kg/m^3,2050010.503481423 kg/ms^2,105.75856406041338 m/s,293.30014411543726 K,0.07918450038750093 kg/s
107,2.6262626262626263,INTER4,8.001319165238858 kg/m^3,695702.8037547176 kg/ms^2,308.52236070335044 m/s,293.40540919277345 K,0.07817818293591312 kg/s
108,2.727272727272727,INTER1,27.85904695440635 kg/m^3,2413166.0340867136 kg/ms^2,86.93922972492582 m/s,293.150001939868 K,0.07670424072523974 kg/s
109,2.727272727272727,INTER2,23.768010393000772 kg/m^3,2059782.6098996964 kg/ms^2,101.9035271809609 m/s,293.15000693828927 K,0.07670424104300508 kg/s
110,2.727272727272727,INTER3,23.642037233439414 kg/m^3,2050003.2622275173 kg/ms^2,105.76788902391215 m/s,293.3007008781544 K,0.07919104345494805 kg/s
111,2.727272727272727,INTER4,8.000248921369593 kg/m^3,695708.4403343877 kg/ms^2,308.5688855287759 m/s,293.44629136269407 K,0.07817951355036613 kg/s
112,2.8282828282828283,INTER1,27.859046954115506 kg/m^3,2413166.0340368804 kg/ms^2,86.9396053490983 m/s,293.1500019370312 K,0.07670457212796115 kg/s
113,2.8282828282828283,INTER2,23.76797515358863 kg/m^3,2059779.5638292488 kg/ms^2,101.9041183288196 m/s,293.1500067780215 K,0.07670457228298004 kg/s
114,2.8282828282828283,INTER3,23.642240448618423 kg/m^3,2050014.468356507 kg/ms^2,105.77276272315297 m/s,293.2998335623685 K,0.07919537323266511 kg/s
115,2.8282828282828283,INTER4,7.999083593915447 kg/m^3,695699.2123337708 kg/ms^2,308.61789426068003 m/s,293.4844438049518 K,0.07818054093618475 kg/s
116,2.929292929292929,INTER1,27.859046953808726 kg/m^3,2413166.033984316 kg/ms^2,86.94006075189483 m/s,293.1500019340391 K,0.07670497391726167 kg/s
117,2.929292929292929,INTER2,23.767932431743684 kg/m^3,2059775.8710948937 kg/ms^2,101.90483499898617 m/s,293.1500065989645 K,0.07670497385613598 kg/s
118,2.929292929292929,INTER3,23.642451044242865 kg/m^3,2050025.815459068 kg/ms^2,105.77744572754104 m/s,293.2988985051648 K,0.07919958501636219 kg/s
119,2.929292929292929,INTER4,7.997915222897102 kg/m^3,695689.480481665 kg/ms^2,308.66692039163115 m/s,293.52250820889117 K,0.07818153936006464 kg/s
120,3.0303030303030303,INTER1,27.85904695348605 kg/m^3,2413166.033929032 kg/ms^2,86.94060219576936 m/s,293.15000193089224 K,0.07670545161834298 kg/s
121,3.0303030303030303,INTER2,23.76788164045813 kg/m^3,2059771.480980769 kg/ms^2,101.90568703932703 m/s,293.15000640179653 K,0.07670545127960911 kg/s
122,3.0303030303030303,INTER3,23.642668570755184 kg/m^3,2050037.2503640808 kg/ms^2,105.78194634234346 m/s,293.2978937596575 K,0.07920368351800139 kg/s
123,3.0303030303030303,INTER4,7.996743004715 kg/m^3,695679.2467561101 kg/ms^2,308.7159934572784 m/s,293.560514370048 K,0.07818250842919205 kg/s
124,3.131313131313131,INTER1,27.859046953147597 kg/m^3,2413166.033871046 kg/ms^2,86.94123585140763 m/s,293.15000192759175 K,0.07670601067544242 kg/s
125,3.131313131313131,INTER2,23.76782220131571 kg/m^3,2059766.3435129072 kg/ms^2,101.90668415356933 m/s,293.1500061871332 K,0.07670600998944373 kg/s
126,3.131313131313131,INTER3,23.642892547609424 kg/m^3,2050048.718330527 kg/ms^2,105.78627336540143 m/s,293.2968175302704 K,0.07920767371426748 kg/s
127,3.131313131313131,INTER4,7.995566148596636 kg/m^3,695668.514620783 kg/ms^2,308.7651426738581 m/s,293.5984922712228 K,0.07818344778589356 kg/s
128,3.2323232323232323,INTER1,27.859046952793523 kg/m^3,2413166.0338103855 kg/ms^2,86.9419677598575 m/s,293.15000192413913 K,0.07670665641842112 kg/s
129,3.2323232323232323,INTER2,23.7677535480411 kg/m^3,2059760.4097658496 kg/ms^2,101.9078358417771 m/s,293.1500059555182 K,0.07670665530719441 kg/s
130,3.2323232323232323,INTER3,23.64312246525413 kg/m^3,2050060.1633231482 kg/ms^2,105.79043607260569 m/s,293.2956681869196 K,0.0792115608423764 kg/s
131,3.2323232323232323,INTER4,7.994383878640001 kg/m^3,695657.2890423984 kg/ms^2,308.81439689041315 m/s,293.6364720159428 K,0.07818435711562814 kg/s
132,3.3333333333333335,INTER1,27.859046944200788 kg/m^3,2413166.0323455357 kg/ms^2,86.96131537416268 m/s,293.15000184118406 K,0.07672372629599387 kg/s
